"trial","timestamp","event","data"
1,174201,"DISPLAY_ON","PURPLE-purple.png"
1,174886,"VOICE_KEY",""
2,177230,"DISPLAY_ON","GREEN-blue.png"
2,177766,"VOICE_KEY",""
3,179956,"DISPLAY_ON","BLUE-red.png"
3,180802,"VOICE_KEY",""
4,182988,"DISPLAY_ON","BLUE-blue.png"
4,183689,"VOICE_KEY",""
5,185784,"DISPLAY_ON","GREEN-green.png"
5,186193,"VOICE_KEY",""
6,188483,"DISPLAY_ON","PURPLE-purple.png"
6,189219,"VOICE_KEY",""
7,191509,"DISPLAY_ON","BROWN-blue.png"
7,192839,"VOICE_KEY",""
8,194607,"DISPLAY_ON","RED-blue.png"
8,195801,"VOICE_KEY",""
9,197503,"DISPLAY_ON","BROWN-brown.png"
9,198329,"VOICE_KEY",""
10,200361,"DISPLAY_ON","RED-purple.png"
10,201138,"VOICE_KEY",""
11,203618,"DISPLAY_ON","RED-purple.png"
11,204017,"VOICE_KEY",""
12,205824,"DISPLAY_ON","BLUE-blue.png"
12,206298,"VOICE_KEY",""
13,208047,"DISPLAY_ON","RED-red.png"
13,208523,"VOICE_KEY",""
14,210516,"DISPLAY_ON","BROWN-red.png"
14,211141,"VOICE_KEY",""
15,213301,"DISPLAY_ON","GREEN-red.png"
15,213992,"VOICE_KEY",""
16,216227,"DISPLAY_ON","RED-red.png"
16,216932,"VOICE_KEY",""
17,218856,"DISPLAY_ON","PURPLE-brown.png"
17,219747,"VOICE_KEY",""
18,221830,"DISPLAY_ON","BLUE-purple.png"
18,222526,"VOICE_KEY",""
19,224366,"DISPLAY_ON","GREEN-green.png"
19,224823,"VOICE_KEY",""
20,226779,"DISPLAY_ON","BROWN-purple.png"
20,227397,"VOICE_KEY",""
21,229794,"DISPLAY_ON","GREEN-brown.png"
21,230202,"VOICE_KEY",""
22,232530,"DISPLAY_ON","RED-red.png"
22,232921,"VOICE_KEY",""
23,235229,"DISPLAY_ON","PURPLE-blue.png"
23,236019,"VOICE_KEY",""
24,238112,"DISPLAY_ON","BLUE-blue.png"
24,238650,"VOICE_KEY",""
25,240739,"DISPLAY_ON","RED-brown.png"
25,241273,"VOICE_KEY",""
26,243552,"DISPLAY_ON","BLUE-red.png"
26,244337,"VOICE_KEY",""
27,246676,"DISPLAY_ON","BROWN-brown.png"
27,247174,"VOICE_KEY",""
28,248878,"DISPLAY_ON","BLUE-blue.png"
28,249373,"VOICE_KEY",""
29,251192,"DISPLAY_ON","GREEN-brown.png"
29,251889,"VOICE_KEY",""
30,254296,"DISPLAY_ON","GREEN-green.png"
30,254827,"VOICE_KEY",""
31,256892,"DISPLAY_ON","BLUE-brown.png"
31,257629,"VOICE_KEY",""
32,259974,"DISPLAY_ON","BROWN-blue.png"
32,260660,"VOICE_KEY",""
33,262919,"DISPLAY_ON","PURPLE-purple.png"
33,263420,"VOICE_KEY",""
34,265192,"DISPLAY_ON","PURPLE-green.png"
34,265866,"VOICE_KEY",""
35,267567,"DISPLAY_ON","RED-red.png"
35,267975,"VOICE_KEY",""
36,270467,"DISPLAY_ON","BROWN-brown.png"
36,270870,"VOICE_KEY",""
37,272646,"DISPLAY_ON","BROWN-brown.png"
37,273165,"VOICE_KEY",""
38,275207,"DISPLAY_ON","BLUE-green.png"
38,275860,"VOICE_KEY",""
39,277938,"DISPLAY_ON","RED-red.png"
39,278329,"VOICE_KEY",""
40,280627,"DISPLAY_ON","RED-green.png"
40,281552,"VOICE_KEY",""
41,283637,"DISPLAY_ON","BROWN-brown.png"
41,284064,"VOICE_KEY",""
42,286387,"DISPLAY_ON","GREEN-purple.png"
42,287236,"VOICE_KEY",""
43,289027,"DISPLAY_ON","PURPLE-purple.png"
43,289506,"VOICE_KEY",""
44,291651,"DISPLAY_ON","BROWN-green.png"
44,292570,"VOICE_KEY",""
45,294475,"DISPLAY_ON","BLUE-blue.png"
45,295397,"VOICE_KEY",""
46,297728,"DISPLAY_ON","PURPLE-purple.png"
46,298349,"VOICE_KEY",""
47,300680,"DISPLAY_ON","GREEN-green.png"
47,301414,"VOICE_KEY",""
48,303908,"DISPLAY_ON","GREEN-green.png"
48,304314,"VOICE_KEY",""
49,306170,"DISPLAY_ON","PURPLE-red.png"
49,307172,"VOICE_KEY",""
50,308960,"DISPLAY_ON","PURPLE-green.png"
50,309685,"VOICE_KEY",""
