"id","age","eng_lang"
1,226,"first"
2,21,"second"
3,21,"first"
4,21,"second"
5,22,
6,24,"fist"
7,21,"second"
8,24,"first"
9,20,"second"
10,19,
11,20,"second"
12,21,"first"
13,20,"second"
14,24,"second"
15,24,"second"
16,23,"second"
17,18,"second"
18,19,"first"
19,21,
20,24,"second"
21,24,"first"
22,24,
23,23,"second"
24,24,"first"
25,20,"first"
26,23,"second"
27,21,"first"
28,24,"First"
29,22,"second"
30,20,"first"
31,23,"second"
32,20,"first"
33,21,"first"
34,18,"first"
35,22,"first"
36,19,"first"
37,24,"first"
38,23,"second"
39,19,"first"
40,21,"first"
41,22,"first"
42,23,"second"
43,18,"first"
44,24,"second"
