"id","trial","response"
1,1,"red"
1,2,"green"
1,3,"red"
1,4,"purple"
1,5,"purple"
1,6,"red"
1,7,"blue"
1,8,"red"
1,9,"red"
1,10,"brown"
1,11,"blue"
1,12,"green"
1,13,"green"
1,14,"purple"
1,15,"brown"
1,16,"blue"
1,17,"brown"
1,18,"blue"
1,19,"red"
1,20,"brown"
1,21,"green"
1,22,"green"
1,23,"purple"
1,24,"blue"
1,25,"bronw"
1,26,"blue"
1,27,"brown"
1,28,"brown"
1,29,"green"
1,30,"red"
1,31,"green"
1,32,"blue"
1,33,"purple"
1,34,"brown"
1,35,"blue"
1,36,"green"
1,37,"red"
1,38,"purpel"
1,39,"blue"
1,40,"red"
1,41,"green"
1,42,"blue"
1,43,"purple"
1,44,"brown"
1,45,"purple"
1,46,"green"
1,47,"purple"
1,48,"blue"
1,49,"purple"
1,50,"purple"
2,1,"purple"
2,2,"red"
2,3,"purple"
2,4,"blue"
2,5,"red"
2,6,"purple"
2,7,"purple"
2,8,"red"
2,9,"brown"
2,10,"red"
2,11,"green"
2,12,"red"
2,13,"blue"
2,14,"geren"
2,15,"green"
2,16,"bronw"
2,17,"brown"
2,18,"green"
2,19,"purple"
2,20,"green"
2,21,"purple"
2,22,"blue"
2,23,"green"
2,24,"purple"
2,25,"brown"
2,26,"green"
2,27,"blue"
2,28,"red"
2,29,"green"
2,30,"red"
2,31,"green"
2,32,"brown"
2,33,"brown"
2,34,"green"
2,35,"red"
2,36,"brown"
2,37,"purple"
2,38,"red"
2,39,"brown"
2,40,"bleu"
2,41,"blue"
2,42,"red"
2,43,"blue"
2,44,"blue"
2,45,"purpel"
2,46,"blue"
2,47,"blue"
2,48,"brown"
2,49,"brown"
2,50,"purple"
3,1,"purple"
3,2,"blue"
3,3,"rde"
3,4,"blue"
3,5,"red"
3,6,"grene"
3,7,"brown"
3,8,"green"
3,9,"green"
3,10,"purple"
3,11,"blue"
3,12,"purple"
3,13,"green"
3,14,"brown"
3,15,"blue"
3,16,"purple"
3,17,"purple"
3,18,"green"
3,19,"borwn"
3,20,"purple"
3,21,"brown"
3,22,"brown"
3,23,"red"
3,24,"blue"
3,25,"blue"
3,26,"blue"
3,27,"purple"
3,28,"brown"
3,29,"red"
3,30,"brown"
3,31,"red"
3,32,"blue"
3,33,"green"
3,34,"green"
3,35,"brown"
3,36,"purple"
3,37,"brown"
3,38,"blue"
3,39,"red"
3,40,"purple"
3,41,"green"
3,42,"red"
3,43,"green"
3,44,"red"
3,45,"green"
3,46,"red"
3,47,"blue"
3,48,"purple"
3,49,"brown"
3,50,"blue"
4,1,"blue"
4,2,"green"
4,3,"purple"
4,4,"red"
4,5,"purple"
4,6,"purple"
4,7,"brown"
4,8,"blue"
4,9,"green"
4,10,"blue"
4,11,"green"
4,12,"green"
4,13,"blue"
4,14,"brown"
4,15,"blue"
4,16,"green"
4,17,"blue"
4,18,"green"
4,19,"blue"
4,20,"purple"
4,21,"brown"
4,22,"brown"
4,23,"red"
4,24,"purple"
4,25,"red"
4,26,"green"
4,27,"purple"
4,28,"borwn"
4,29,"green"
4,30,"purple"
4,31,"purple"
4,32,"brown"
4,33,"brown"
4,34,"rde"
4,35,"blue"
4,36,"brown"
4,37,"brown"
4,38,"purple"
4,39,"red"
4,40,"blue"
4,41,"red"
4,42,"brown"
4,43,"green"
4,44,"blue"
4,45,"green"
4,46,"brown"
4,47,"red"
4,48,"red"
4,49,"red"
4,50,"red"
5,1,"red"
5,2,"green"
5,3,"green"
5,4,"blue"
5,5,"purple"
5,6,"green"
5,7,"red"
5,8,"purple"
5,9,"blue"
5,10,"purple"
5,11,"green"
5,12,"red"
5,13,"brown"
5,14,"blue"
5,15,"red"
5,16,"blue"
5,17,"green"
5,18,"brown"
5,19,"blue"
5,20,"brown"
5,21,"blue"
5,22,"purple"
5,23,"red"
5,24,"green"
5,25,"purple"
5,26,"green"
5,27,"green"
5,28,"purple"
5,29,"red"
5,30,"purple"
5,31,"red"
5,32,"blue"
5,33,"green"
5,34,"red"
5,35,"brown"
5,36,"brown"
5,37,"brown"
5,38,"brown"
5,39,"red"
5,40,"purple"
5,41,"blue"
5,42,"brown"
5,43,"green"
5,44,"blue"
5,45,"brown"
5,46,"purple"
5,47,"red"
5,48,"purple"
5,49,"blue"
5,50,"brown"
6,1,"borwn"
6,2,"brown"
6,3,"blue"
6,4,"brown"
6,5,"blue"
6,6,"blue"
6,7,"blue"
6,8,"green"
6,9,"red"
6,10,"red"
6,11,"purple"
6,12,"blue"
6,13,"brown"
6,14,"purple"
6,15,"purple"
6,16,"red"
6,17,"brown"
6,18,"purple"
6,19,"green"
6,20,"green"
6,21,"red"
6,22,"purple"
6,23,"red"
6,24,"blue"
6,25,"green"
6,26,"brown"
6,27,"blue"
6,28,"purple"
6,29,"red"
6,30,"purple"
6,31,"purple"
6,32,"green"
6,33,"blue"
6,34,"green"
6,35,"blue"
6,36,"brown"
6,37,"green"
6,38,"purple"
6,39,"green"
6,40,"red"
6,41,"green"
6,42,"blue"
6,43,"brown"
6,44,"red"
6,45,"green"
6,46,"brown"
6,47,"red"
6,48,"purple"
6,49,"blue"
6,50,"red"
7,1,"blue"
7,2,"blue"
7,3,"green"
7,4,"red"
7,5,"purple"
7,6,"blue"
7,7,"purple"
7,8,"purple"
7,9,"green"
7,10,"blue"
7,11,"blue"
7,12,"purple"
7,13,"purple"
7,14,"rde"
7,15,"green"
7,16,"green"
7,17,"green"
7,18,"red"
7,19,"brown"
7,20,"red"
7,21,"purple"
7,22,"blue"
7,23,"brown"
7,24,"green"
7,25,"purple"
7,26,"blue"
7,27,"brown"
7,28,"red"
7,29,"red"
7,30,"rde"
7,31,"green"
7,32,"brown"
7,33,"purple"
7,34,"brown"
7,35,"geren"
7,36,"blue"
7,37,"red"
7,38,"purple"
7,39,"brown"
7,40,"red"
7,41,"brown"
7,42,"blue"
7,43,"brown"
7,44,"blue"
7,45,"brown"
7,46,"purple"
7,47,"red"
7,48,"purple"
7,49,"grene"
7,50,"brown"
8,1,"purple"
8,2,"blue"
8,3,"brown"
8,4,"green"
8,5,"purple"
8,6,"green"
8,7,"brown"
8,8,"purple"
8,9,"blue"
8,10,"purple"
8,11,"blue"
8,12,"blue"
8,13,"red"
8,14,"red"
8,15,"purple"
8,16,"blue"
8,17,"blue"
8,18,"green"
8,19,"green"
8,20,"red"
8,21,"brown"
8,22,"brown"
8,23,"red"
8,24,"green"
8,25,"red"
8,26,"purple"
8,27,"brown"
8,28,"red"
8,29,"green"
8,30,"purple"
8,31,"blue"
8,32,"red"
8,33,"brown"
8,34,"brown"
8,35,"green"
8,36,"brown"
8,37,"red"
8,38,"blue"
8,39,"purple"
8,40,"brown"
8,41,"red"
8,42,"green"
8,43,"blue"
8,44,"green"
8,45,"purple"
8,46,"blue"
8,47,"green"
8,48,"brown"
8,49,"red"
8,50,"purple"
9,1,"purple"
9,2,"green"
9,3,"brown"
9,4,"blue"
9,5,"brown"
9,6,"blue"
9,7,"green"
9,8,"purple"
9,9,"purple"
9,10,"brown"
9,11,"purple"
9,12,"purple"
9,13,"red"
9,14,"blue"
9,15,"purple"
9,16,"red"
9,17,"green"
9,18,"green"
9,19,"purple"
9,20,"green"
9,21,"brown"
9,22,"bronw"
9,23,"blue"
9,24,"purple"
9,25,"blue"
9,26,"blue"
9,27,"red"
9,28,"green"
9,29,"purple"
9,30,"red"
9,31,"red"
9,32,"brown"
9,33,"blue"
9,34,"blue"
9,35,"red"
9,36,"green"
9,37,"purple"
9,38,"blue"
9,39,"blue"
9,40,"purple"
9,41,"red"
9,42,"brown"
9,43,"green"
9,44,"brown"
9,45,"red"
9,46,"red"
9,47,"red"
9,48,"brown"
9,49,"brown"
9,50,"green"
10,1,"green"
10,2,"green"
10,3,"blue"
10,4,"red"
10,5,"blue"
10,6,"brown"
10,7,"purple"
10,8,"green"
10,9,"green"
10,10,"red"
10,11,"red"
10,12,"red"
10,13,"green"
10,14,"blue"
10,15,"purple"
10,16,"purple"
10,17,"brown"
10,18,"green"
10,19,"blue"
10,20,"blue"
10,21,"brown"
10,22,"green"
10,23,"green"
10,24,"blue"
10,25,"red"
10,26,"red"
10,27,"red"
10,28,"red"
10,29,"blue"
10,30,"purple"
10,31,"brown"
10,32,"purple"
10,33,"purple"
10,34,"red"
10,35,"purple"
10,36,"blue"
10,37,"brown"
10,38,"brown"
10,39,"blue"
10,40,"blue"
10,41,"green"
10,42,"purple"
10,43,"red"
10,44,"brown"
10,45,"brown"
10,46,"brown"
10,47,"purple"
10,48,"brown"
10,49,"purple"
10,50,"green"
11,1,"purple"
11,2,"purple"
11,3,"blue"
11,4,"blue"
11,5,"green"
11,6,"brown"
11,7,"purple"
11,8,"purple"
11,9,"purple"
11,10,"brown"
11,11,"brown"
11,12,"brwon"
11,13,"green"
11,14,"blue"
11,15,"red"
11,16,"blue"
11,17,"purple"
11,18,"red"
11,19,"green"
11,20,"green"
11,21,"blue"
11,22,"blue"
11,23,"red"
11,24,"blue"
11,25,"purple"
11,26,"green"
11,27,"brown"
11,28,"red"
11,29,"brown"
11,30,"red"
11,31,"brown"
11,32,"brown"
11,33,"green"
11,34,"purple"
11,35,"blue"
11,36,"red"
11,37,"red"
11,38,"red"
11,39,"green"
11,40,"green"
11,41,"brown"
11,42,"green"
11,43,"brown"
11,44,"brown"
11,45,"purple"
11,46,"red"
11,47,"red"
11,48,"blue"
11,49,"blue"
11,50,"brown"
12,1,"green"
12,2,"brown"
12,3,"red"
12,4,"red"
12,5,"green"
12,6,"brown"
12,7,"red"
12,8,"bleu"
12,9,"purple"
12,10,"red"
12,11,"blue"
12,12,"purple"
12,13,"red"
12,14,"purple"
12,15,"purple"
12,16,"blue"
12,17,"green"
12,18,"blue"
12,19,"purple"
12,20,"green"
12,21,"blue"
12,22,"red"
12,23,"blue"
12,24,"green"
12,25,"brown"
12,26,"brown"
12,27,"brown"
12,28,"blue"
12,29,"brown"
